cluster,total_pnl,total_trades,overall_win_rate,avg_size,drawdown_proxy
0,1218549.3,22459.12,0.41,2984.3,-36545.31
1,581876.97,5533.75,0.39,20404.91,-137082.78
2,132539.89,4144.25,0.31,3699.54,-34030.0
3,194466.96,3098.11,0.5,4103.38,-11567.77
